/home/uosai/바탕화면/miniconda3/envs/simplenv/lib/python3.9/site-packages/gym/logger.py:34: UserWarning: [33mWARN: Box bound precision lowered by casting to float32
  warnings.warn(colorize("%s: %s" % ("WARN", msg % args), "yellow"))
Algo rmappo Exp ppo updates 940/60000 episodes, Accumulated Rewards -1.0000005960464478
Algo rmappo Exp ppo updates 945/60000 episodes, Accumulated Rewards -1.0000038146972656
Algo rmappo Exp ppo updates 950/60000 episodes, Accumulated Rewards -2.000005006790161
Algo rmappo Exp ppo updates 955/60000 episodes, Accumulated Rewards -2.0000123977661133
Algo rmappo Exp ppo updates 960/60000 episodes, Accumulated Rewards 6.999996185302734
Algo rmappo Exp ppo updates 965/60000 episodes, Accumulated Rewards -12.000011444091797
Algo rmappo Exp ppo updates 970/60000 episodes, Accumulated Rewards -2.0000085830688477
Algo rmappo Exp ppo updates 975/60000 episodes, Accumulated Rewards -1.9999996423721313
Algo rmappo Exp ppo updates 980/60000 episodes, Accumulated Rewards -11.000012397766113
Algo rmappo Exp ppo updates 985/60000 episodes, Accumulated Rewards 5.999997138977051
Algo rmappo Exp ppo updates 990/60000 episodes, Accumulated Rewards 7.999991416931152
Algo rmappo Exp ppo updates 995/60000 episodes, Accumulated Rewards -2.0000128746032715
Algo rmappo Exp ppo updates 1000/60000 episodes, Accumulated Rewards -4.000005722045898
Algo rmappo Exp ppo updates 1005/60000 episodes, Accumulated Rewards -22.00000762939453
Algo rmappo Exp ppo updates 1010/60000 episodes, Accumulated Rewards -1.999999761581421
Algo rmappo Exp ppo updates 1015/60000 episodes, Accumulated Rewards -12.000008583068848
Algo rmappo Exp ppo updates 1020/60000 episodes, Accumulated Rewards -3.999999761581421
Algo rmappo Exp ppo updates 1025/60000 episodes, Accumulated Rewards -1.9999995231628418
Algo rmappo Exp ppo updates 1030/60000 episodes, Accumulated Rewards -2.0000009536743164
Algo rmappo Exp ppo updates 1035/60000 episodes, Accumulated Rewards -0.9999996423721313
Algo rmappo Exp ppo updates 1040/60000 episodes, Accumulated Rewards -2.0000038146972656
Algo rmappo Exp ppo updates 1045/60000 episodes, Accumulated Rewards -2.999999761581421
Algo rmappo Exp ppo updates 1050/60000 episodes, Accumulated Rewards -2.999999523162842
Algo rmappo Exp ppo updates 1055/60000 episodes, Accumulated Rewards -12.000003814697266
Algo rmappo Exp ppo updates 1060/60000 episodes, Accumulated Rewards -1.999999761581421
